Restaurant,State,City,Zip-Code,Phone,Address,Longitude,Latitude,Source
A & W Family Restaurant,AK,Anchorage,99501,907-258-8680,"901 E 15th Ave Anchorage, AK, 99501",-149.866902,61.20773,https://www.menuism.com/restaurants/a-w-family-restaurant-anchorage-639409
A & W Family Restaurant,AK,Anchorage,99507,907-276-0029,"6108 Petersburg St Anchorage, AK, 99507",-149.8463654,61.1651043,https://www.menuism.com/restaurants/a-w-family-restaurant-anchorage-611783
A & W Family Restaurant,AK,Eagle River,99577,405-749-1314,"11301 Old Glenn Hwy Eagle River, AK, 99577",-149.5702,61.32236,https://www.menuism.com/restaurants/a-w-family-restaurant-eagle-river-633922
A & W Family Restaurant,AK,Fairbanks,99709,907-452-1010,"3428 Airport Way Fairbanks, AK, 99709",-147.797324,64.837116,https://www.menuism.com/restaurants/a-w-family-restaurant-fairbanks-651568
A & W Family Restaurant,AK,Wasilla,99654,907-376-8089,"1761 E Palmer Wasilla Hwy Wasilla, AK, 99654",-149.404648,61.579107,https://www.menuism.com/restaurants/a-w-family-restaurant-wasilla-623579
A & W Family Restaurant,AL,Birmingham,35235,205-661-3381,"1674 Gadsen Hwy Birmingham, AL, 35235",-86.811504,33.520295,https://www.menuism.com/restaurants/a-w-family-restaurant-birmingham-39954
A & W Family Restaurant,AL,Dadeville,36853,256-825-7600,"7172 Highway 50 Dadeville, AL, 36853",-85.80867,32.70668,https://www.menuism.com/restaurants/a-w-family-restaurant-dadeville-635784
A & W Family Restaurant,AL,Jacksonville,36265,256-782-2888,"Pelham Rd S Jacksonville, AL, 36265",-85.761311,33.8040512,https://www.menuism.com/restaurants/a-w-family-restaurant-jacksonville-601190
A & W Family Restaurant,AL,Montgomery,36110,334-244-0698,"1965 Coliseum Blvd Montgomery, AL, 36110",-86.2685388,32.42382,https://www.menuism.com/restaurants/a-w-family-restaurant-montgomery-313946
A & W Family Restaurant,AL,Pelham,35124,205-621-8374,"3310 Pelham Pkwy. Pelham, AL, 35124",-86.811005,33.28155,https://www.menuism.com/restaurants/a-w-family-restaurant-pelham-484378
A & W Family Restaurant,AL,Prattville,36066,334-361-4088,"1913 Cobbs Ford Rd Prattville, AL, 36066",-86.4168069,32.4604112,https://www.menuism.com/restaurants/a-w-family-restaurant-prattville-376102
A & W Family Restaurant,AR,Bentonville,72712,479-273-3173,"3209 Ne 11th St Bentonville, AR, 72712",-94.173889,36.383971,https://www.menuism.com/restaurants/a-w-family-restaurant-bentonville-666874
